Reciprocal In Out
9.0 5.0 1.0
19.0 10.0 142.0
11.0 10.0 4.0
0.0 1.0 0.0
15.0 18.0 29.0
74.0 56.0 237.0
6.0 6.0 22.0
3.0 32.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
16.0 19.0 26.0
23.0 10.0 139.0
5.0 7.0 15.0
1.0 6.0 0.0
0.0 1.0 0.0
39.0 53.0 231.0
18.0 40.0 39.0
65.0 57.0 65.0
2.0 1.0 1.0
2.0 8.0 0.0
0.0 0.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
2.0 2.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
0.0 1.0 0.0
2.0 17.0 1.0
1.0 1.0 0.0
2.0 12.0 0.0
8.0 7.0 1.0
2.0 4.0 0.0
0.0 0.0 0.0
0.0 1.0 0.0
14.0 3.0 1.0
2.0 1.0 0.0
0.0 0.0 0.0
4.0 6.0 1.0
20.0 36.0 66.0
0.0 1.0 0.0
1.0 1.0 0.0
1.0 5.0 0.0
7.0 5.0 1.0
1.0 2.0 0.0
1.0 2.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
1.0 4.0 0.0
4.0 15.0 2.0
9.0 19.0 7.0
2.0 1.0 0.0
2.0 2.0 0.0
1.0 14.0 0.0
1.0 4.0 1.0
0.0 1.0 0.0
6.0 25.0 0.0
1.0 7.0 1.0
5.0 17.0 0.0
5.0 11.0 10.0
10.0 10.0 1.0
3.0 6.0 0.0
1.0 1.0 0.0
0.0 0.0 0.0
1.0 1.0 0.0
9.0 1.0 5.0
2.0 18.0 0.0
15.0 18.0 65.0
7.0 2.0 0.0
0.0 1.0 0.0
0.0 0.0 0.0
1.0 2.0 0.0
4.0 10.0 59.0
1.0 2.0 0.0
25.0 15.0 0.0
2.0 4.0 0.0
0.0 1.0 0.0
2.0 4.0 0.0
1.0 1.0 0.0
1.0 2.0 1.0
1.0 2.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
6.0 2.0 4.0
0.0 1.0 0.0
2.0 2.0 0.0
1.0 1.0 0.0
4.0 21.0 3.0
7.0 4.0 0.0
1.0 2.0 0.0
38.0 10.0 38.0
2.0 17.0 2.0
0.0 0.0 0.0
1.0 5.0 1.0
1.0 5.0 0.0
4.0 13.0 0.0
9.0 2.0 5.0
0.0 1.0 0.0
0.0 0.0 0.0
8.0 1.0 0.0
1.0 2.0 0.0
16.0 26.0 7.0
1.0 1.0 0.0
1.0 2.0 0.0
3.0 7.0 6.0
23.0 29.0 31.0
49.0 27.0 34.0
0.0 0.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
1.0 2.0 0.0
52.0 79.0 25.0
0.0 0.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
21.0 66.0 29.0
32.0 34.0 8.0
1.0 1.0 0.0
18.0 2.0 2.0
4.0 1.0 1.0
1.0 1.0 0.0
0.0 0.0 0.0
1.0 2.0 0.0
33.0 45.0 63.0
2.0 6.0 0.0
1.0 6.0 0.0
1.0 2.0 0.0
1.0 2.0 0.0
4.0 2.0 0.0
12.0 21.0 65.0
1.0 1.0 0.0
3.0 4.0 24.0
61.0 78.0 298.0
0.0 1.0 0.0
2.0 31.0 1.0
1.0 2.0 0.0
4.0 2.0 1.0
1.0 1.0 0.0
1.0 1.0 0.0
5.0 4.0 0.0
1.0 1.0 0.0
3.0 1.0 0.0
7.0 18.0 2.0
1.0 2.0 0.0
3.0 6.0 1.0
0.0 1.0 0.0
11.0 46.0 0.0
1.0 2.0 0.0
0.0 1.0 0.0
4.0 1.0 0.0
2.0 13.0 1.0
0.0 1.0 0.0
0.0 1.0 0.0
3.0 2.0 0.0
1.0 3.0 0.0
3.0 11.0 0.0
12.0 17.0 0.0
1.0 6.0 0.0
3.0 6.0 0.0
1.0 1.0 0.0
1.0 6.0 1.0
1.0 3.0 0.0
108.0 47.0 341.0
9.0 17.0 8.0
1.0 1.0 0.0
5.0 26.0 43.0
1.0 4.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
0.0 0.0 0.0
1.0 1.0 0.0
1.0 4.0 0.0
10.0 18.0 1.0
46.0 40.0 312.0
1.0 1.0 0.0
0.0 1.0 0.0
5.0 5.0 1.0
1.0 2.0 0.0
1.0 1.0 0.0
0.0 1.0 0.0
1.0 2.0 0.0
1.0 2.0 0.0
1.0 1.0 0.0
3.0 4.0 1.0
1.0 2.0 0.0
1.0 4.0 0.0
1.0 2.0 0.0
8.0 22.0 11.0
4.0 4.0 1.0
0.0 0.0 0.0
1.0 4.0 0.0
14.0 49.0 2.0
1.0 1.0 0.0
8.0 16.0 0.0
2.0 1.0 2.0
1.0 6.0 0.0
0.0 1.0 0.0
0.0 1.0 0.0
0.0 1.0 0.0
1.0 4.0 1.0
1.0 1.0 0.0
2.0 5.0 0.0
0.0 1.0 0.0
0.0 1.0 0.0
45.0 46.0 24.0
13.0 11.0 13.0
2.0 1.0 0.0
1.0 1.0 0.0
0.0 1.0 0.0
0.0 2.0 0.0
15.0 10.0 1.0
2.0 5.0 0.0
1.0 1.0 0.0
0.0 2.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
1.0 5.0 0.0
1.0 1.0 0.0
2.0 3.0 0.0
0.0 1.0 0.0
2.0 11.0 69.0
1.0 3.0 0.0
10.0 7.0 0.0
1.0 6.0 0.0
37.0 14.0 3.0
1.0 1.0 0.0
3.0 2.0 0.0
0.0 0.0 0.0
0.0 1.0 0.0
20.0 25.0 81.0
2.0 1.0 1.0
4.0 1.0 8.0
1.0 1.0 0.0
0.0 1.0 0.0
5.0 5.0 1.0
1.0 1.0 0.0
0.0 1.0 0.0
9.0 6.0 1.0
16.0 6.0 1.0
2.0 5.0 0.0
5.0 27.0 10.0
1.0 1.0 0.0
8.0 2.0 0.0
1.0 4.0 0.0
2.0 17.0 1.0
4.0 9.0 0.0
2.0 1.0 0.0
7.0 1.0 0.0
2.0 5.0 0.0
6.0 13.0 4.0
1.0 1.0 0.0
5.0 3.0 1.0
69.0 47.0 226.0
0.0 0.0 0.0
1.0 1.0 0.0
48.0 36.0 125.0
6.0 1.0 1.0
1.0 2.0 0.0
3.0 7.0 1.0
55.0 18.0 48.0
3.0 13.0 0.0
1.0 2.0 0.0
9.0 22.0 1.0
1.0 1.0 0.0
1.0 15.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
22.0 26.0 7.0
1.0 2.0 0.0
1.0 2.0 1.0
1.0 2.0 0.0
1.0 2.0 0.0
17.0 7.0 1.0
2.0 5.0 1.0
5.0 6.0 1.0
2.0 11.0 0.0
1.0 1.0 0.0
28.0 51.0 23.0
0.0 1.0 0.0
11.0 14.0 23.0
0.0 1.0 0.0
1.0 1.0 0.0
14.0 29.0 23.0
1.0 2.0 0.0
7.0 14.0 18.0
5.0 2.0 0.0
1.0 2.0 0.0
1.0 1.0 0.0
8.0 29.0 2.0
11.0 3.0 5.0
55.0 41.0 39.0
4.0 5.0 0.0
0.0 0.0 0.0
3.0 6.0 16.0
8.0 10.0 85.0
6.0 18.0 1.0
1.0 2.0 1.0
1.0 11.0 0.0
18.0 22.0 76.0
2.0 1.0 0.0
2.0 15.0 1.0
1.0 1.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
5.0 14.0 0.0
1.0 5.0 0.0
7.0 14.0 3.0
1.0 2.0 0.0
0.0 1.0 0.0
3.0 28.0 1.0
1.0 6.0 1.0
8.0 11.0 2.0
2.0 1.0 0.0
15.0 16.0 197.0
1.0 18.0 0.0
7.0 9.0 1.0
0.0 1.0 0.0
7.0 24.0 0.0
1.0 1.0 1.0
14.0 29.0 13.0
0.0 0.0 0.0
2.0 9.0 0.0
1.0 1.0 0.0
13.0 8.0 0.0
1.0 0.0 0.0
2.0 3.0 0.0
25.0 18.0 94.0
6.0 2.0 0.0
0.0 18.0 1.0
3.0 1.0 0.0
2.0 2.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
44.0 42.0 30.0
13.0 22.0 2.0
7.0 17.0 1.0
2.0 9.0 29.0
7.0 7.0 15.0
2.0 4.0 0.0
1.0 2.0 0.0
4.0 13.0 0.0
1.0 1.0 0.0
1.0 5.0 0.0
2.0 3.0 0.0
1.0 5.0 0.0
3.0 1.0 1.0
0.0 0.0 0.0
11.0 10.0 17.0
32.0 45.0 41.0
13.0 4.0 0.0
20.0 21.0 1.0
13.0 9.0 2.0
27.0 16.0 1.0
3.0 1.0 0.0
17.0 30.0 1.0
1.0 3.0 1.0
6.0 2.0 0.0
5.0 2.0 0.0
41.0 36.0 320.0
1.0 1.0 1.0
1.0 1.0 0.0
1.0 3.0 0.0
2.0 10.0 0.0
1.0 6.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
0.0 2.0 0.0
0.0 0.0 0.0
1.0 1.0 0.0
1.0 6.0 0.0
13.0 6.0 0.0
3.0 6.0 1.0
0.0 1.0 0.0
4.0 4.0 0.0
0.0 0.0 0.0
20.0 7.0 6.0
3.0 2.0 0.0
1.0 1.0 0.0
6.0 4.0 2.0
1.0 1.0 0.0
6.0 17.0 1.0
1.0 1.0 0.0
2.0 4.0 0.0
3.0 3.0 0.0
3.0 7.0 4.0
6.0 13.0 7.0
1.0 2.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
8.0 7.0 1.0
1.0 1.0 0.0
3.0 5.0 0.0
45.0 39.0 11.0
1.0 1.0 0.0
4.0 5.0 0.0
6.0 7.0 0.0
1.0 4.0 0.0
2.0 6.0 0.0
0.0 1.0 0.0
7.0 12.0 11.0
5.0 9.0 1.0
0.0 1.0 0.0
0.0 1.0 0.0
27.0 20.0 24.0
4.0 16.0 1.0
101.0 57.0 215.0
12.0 16.0 3.0
1.0 1.0 0.0
1.0 1.0 0.0
1.0 7.0 0.0
20.0 16.0 64.0
23.0 2.0 0.0
1.0 9.0 0.0
0.0 0.0 0.0
33.0 21.0 22.0
14.0 19.0 0.0
5.0 1.0 0.0
1.0 2.0 0.0
0.0 0.0 0.0
1.0 2.0 0.0
1.0 1.0 0.0
1.0 2.0 0.0
12.0 24.0 1.0
1.0 1.0 0.0
1.0 7.0 0.0
4.0 19.0 9.0
10.0 30.0 68.0
8.0 8.0 1.0
1.0 1.0 0.0
1.0 3.0 0.0
1.0 1.0 0.0
7.0 21.0 3.0
10.0 11.0 1.0
0.0 2.0 0.0
6.0 9.0 8.0
2.0 9.0 1.0
29.0 28.0 9.0
2.0 8.0 6.0
0.0 1.0 0.0
1.0 7.0 1.0
17.0 40.0 104.0
18.0 33.0 27.0
4.0 7.0 1.0
6.0 9.0 1.0
12.0 12.0 25.0
1.0 4.0 0.0
2.0 3.0 0.0
21.0 39.0 29.0
8.0 7.0 1.0
3.0 2.0 0.0
1.0 1.0 0.0
6.0 6.0 1.0
0.0 1.0 0.0
0.0 1.0 0.0
4.0 3.0 1.0
1.0 1.0 0.0
10.0 5.0 0.0
5.0 3.0 1.0
1.0 5.0 0.0
1.0 6.0 0.0
3.0 7.0 1.0
8.0 4.0 1.0
7.0 4.0 1.0
42.0 67.0 307.0
14.0 14.0 12.0
1.0 1.0 0.0
20.0 23.0 4.0
20.0 21.0 16.0
1.0 1.0 0.0
1.0 10.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
14.0 14.0 2.0
22.0 8.0 8.0
2.0 3.0 1.0
1.0 5.0 0.0
1.0 3.0 0.0
5.0 5.0 1.0
0.0 0.0 0.0
0.0 2.0 0.0
1.0 2.0 0.0
17.0 52.0 1.0
22.0 24.0 185.0
19.0 7.0 1.0
47.0 36.0 35.0
10.0 10.0 2.0
1.0 2.0 0.0
0.0 0.0 0.0
1.0 5.0 1.0
1.0 1.0 0.0
1.0 4.0 0.0
0.0 1.0 0.0
19.0 9.0 1.0
1.0 6.0 0.0
1.0 3.0 0.0
8.0 4.0 0.0
0.0 1.0 0.0
1.0 4.0 0.0
2.0 1.0 0.0
22.0 44.0 56.0
1.0 1.0 0.0
0.0 0.0 0.0
4.0 14.0 0.0
1.0 4.0 0.0
6.0 5.0 0.0
14.0 27.0 122.0
1.0 4.0 0.0
2.0 6.0 0.0
5.0 13.0 8.0
2.0 2.0 0.0
6.0 6.0 1.0
0.0 0.0 0.0
21.0 36.0 42.0
2.0 1.0 0.0
8.0 10.0 59.0
0.0 2.0 0.0
12.0 6.0 0.0
4.0 7.0 0.0
20.0 26.0 6.0
2.0 10.0 1.0
0.0 1.0 0.0
2.0 6.0 0.0
0.0 1.0 0.0
1.0 2.0 0.0
0.0 1.0 0.0
0.0 1.0 0.0
7.0 18.0 4.0
0.0 1.0 0.0
1.0 1.0 0.0
0.0 0.0 0.0
2.0 8.0 0.0
11.0 24.0 18.0
19.0 20.0 124.0
1.0 2.0 0.0
1.0 1.0 0.0
0.0 0.0 0.0
1.0 3.0 0.0
0.0 0.0 0.0
4.0 21.0 0.0
1.0 1.0 0.0
1.0 2.0 1.0
2.0 1.0 0.0
1.0 3.0 0.0
0.0 1.0 0.0
5.0 1.0 0.0
1.0 1.0 0.0
5.0 2.0 0.0
1.0 2.0 0.0
7.0 18.0 5.0
4.0 11.0 0.0
2.0 11.0 0.0
80.0 46.0 58.0
1.0 1.0 0.0
1.0 1.0 0.0
3.0 17.0 0.0
0.0 1.0 0.0
15.0 20.0 3.0
2.0 3.0 1.0
0.0 1.0 0.0
28.0 44.0 119.0
3.0 1.0 0.0
4.0 17.0 6.0
0.0 0.0 0.0
4.0 9.0 0.0
6.0 17.0 1.0
0.0 1.0 0.0
0.0 0.0 0.0
3.0 12.0 1.0
1.0 1.0 0.0
4.0 2.0 0.0
1.0 15.0 0.0
7.0 26.0 1.0
35.0 22.0 45.0
7.0 2.0 4.0
2.0 1.0 0.0
2.0 1.0 0.0
1.0 1.0 0.0
1.0 1.0 0.0
11.0 3.0 0.0
1.0 2.0 0.0
0.0 0.0 0.0
0.0 1.0 0.0
1.0 10.0 1.0
2.0 11.0 2.0
2.0 19.0 1.0
11.0 27.0 5.0
0.0 0.0 0.0
1.0 7.0 5.0
1.0 2.0 0.0
6.0 1.0 0.0
0.0 1.0 0.0
12.0 14.0 81.0
3.0 21.0 1.0
10.0 31.0 1.0
1.0 6.0 0.0
1.0 2.0 2.0
0.0 1.0 0.0
0.0 1.0 0.0
0.0 1.0 0.0
9.0 6.0 1.0
3.0 7.0 0.0
0.0 1.0 0.0
2.0 7.0 0.0
2.0 6.0 0.0
1.0 3.0 0.0
1.0 1.0 0.0
18.0 18.0 37.0
1.0 2.0 0.0
0.0 0.0 0.0
0.0 1.0 0.0
1.0 1.0 0.0
0.0 0.0 0.0
8.0 10.0 1.0
0.0 1.0 0.0
18.0 4.0 12.0
16.0 28.0 1.0
1.0 10.0 5.0
18.0 9.0 2.0
0.0 1.0 0.0
1.0 3.0 0.0
0.0 1.0 1.0
1.0 2.0 0.0
1.0 1.0 0.0
1.0 6.0 0.0
0.0 0.0 0.0
1.0 7.0 1.0
1.0 1.0 0.0
0.0 1.0 0.0
1.0 0.0 0.0
1.0 1.0 0.0
4.0 17.0 0.0
3.0 7.0 1.0
5.0 1.0 0.0
5.0 9.0 0.0
1.0 3.0 1.0
10.0 7.0 2.0
7.0 6.0 0.0
11.0 45.0 1.0
40.0 17.0 4.0
7.0 16.0 6.0
3.0 7.0 0.0
7.0 8.0 0.0
1.0 3.0 0.0
3.0 7.0 2.0
24.0 24.0 34.0
3.0 9.0 0.0
13.0 10.0 1.0
